"words","group"
"ARTIFIC* INTELLIGEN*","KEY2"
"COMPUTATION* INTELLIGEN*","KEY2"
"NEURAL NETWORK*","KEY2"
"BAYES NETWORK*","KEY2"
"BAYESIAN NETWORK*","KEY2"
"CHATBOT","KEY2"
"DATA MINING*","KEY2"
"DECISION MODEL*","KEY2"
"DEEP LEARNING*","KEY2"
"GENETIC ALGORITHM*","KEY2"
"INDUCTIVE LOGIC","KEY2"
"INDUCTIVE PROGRAMM*","KEY2"
"MACHINE LEARNING*","KEY2"
"NATURAL LANGUAGE GENERATION","KEY2"
"NATURAL LANGUAGE PROCESSING","KEY2"
"REINFORCEMENT LEARNING","KEY2"
"SUPERVISED LEARNING","KEY2"
"SUPERVISED TRAINING","KEY2"
"SWARM INTELLIGEN*","KEY2"
"UNSUPERVISED LEARNING","KEY2"
"UNSUPERVISED TRAINING","KEY2"
"SEMI-SUPERVISED LEARNING*","KEY2"
"SEMI-SUPERVISED TRAINING*","KEY2"
"SEMI SUPERVISED LEARNING*","KEY2"
"SEMI SUPERVISED TRAINING*","KEY2"
"CONNECTIONIS*","KEY2"
"EXPERT SYSTEM?","KEY2"
"FUZZY LOGIC?","KEY2"
"TRANSFER LEARNING","KEY2"
"LEARNING ALGORITHM?","KEY2"
"LEARNING MODEL","KEY2"
"SUPPORT VECTOR MACHINE?","KEY2"
"RANDOM FOREST","KEY2"
"DECISION TREE?","KEY2"
"GRADIENT TREE BOOSTING","KEY2"
"XGBOOST","KEY2"
"ADABOOST","KEY2"
"RANKBOOST","KEY2"
"LOGISTIC REGRESSION","KEY2"
"STOCHASTIC GRADIENT DESCENT","KEY2"
"MULTILAYER PERCEPTRON?","KEY2"
"LATENT SEMANTIC ANALYSIS","KEY2"
"LATENT DIRICHLET ALLOCATION","KEY2"
"MULTI AGENT SYSTEM","KEY2"
"HIDDEN MARKOV MODEL","KEY2"
"CLUSTERING","KEY3"
"COMPUT*","KEY3"
"CREATIVITY","KEY3"
"DESCRIPTIVE  MODEL","KEY3"
"INDUCTIVE  REASONING","KEY3"
"OVERFITTING","KEY3"
"PREDICTIVE_ANALYTICS","KEY3"
"PREDICTIVE_MODEL?","KEY3"
"TARGET FUNCTION?","KEY3"
"TEST DATA SET","KEY3"
"TRAINING DATA SET","KEY3"
"VALIDATION DATA SET","KEY3"
"BACKPROPAGATION","KEY3"
"SELF-LEARNING","KEY3"
"SELF LEARNING","KEY3"
"OBJECTIVE FUNCTION?","KEY3"
"FEATURE? SELECTION","KEY3"
"EMBEDDING?","KEY3"
"ACTIVE LEARNING","KEY3"
"REGRESSION MODEL?","KEY3"
"STOCHASTIC APPROACH","KEY3"
"STOCHASTIC TECHNIQUE","KEY3"
"STOCHASTIC METHOD","KEY3"
"STOCHASTIC ALGORITHM","KEY3"
"PROBABILIST APPROACH","KEY3"
"PROBABILIST TECHNIQUE","KEY3"
"PROBABILIST METHOD","KEY3"
"PROBABILIST ALGORITHM","KEY3"
"RECOMMEND* SYSTEM?","KEY3"
"TEXT ANALYSIS","KEY3"
"TEXT ANALYTIC","KEY3"
"TEXT RECOGNITION","KEY3"
"SPEECH ANALYSIS","KEY3"
"SPEECH ANALYTIC","KEY3"
"SPEECH RECOGNITION","KEY3"
"HAND WRITING ANALYSIS","KEY3"
"HAND WRITING ANALYTIC","KEY3"
"HAND WRITING RECOGNITION","KEY3"
"FACIAL ANALYSIS","KEY3"
"FACIAL ANALYTIC","KEY3"
"FACIAL RECOGNITION","KEY3"
"FACE ANALYSIS","KEY3"
"FACE ANALYTIC","KEY3"
"FACE RECOGNITION","KEY3"
"CHARACTER ANALYSIS","KEY3"
"CHARACTER ANALYTIC","KEY3"
"CHARACTER RECOGNITION","KEY3"
