"class_code","group"
"G06N  99/005","CPC1"
"G06T2207/20081","CPC1"
"G06T2207/20084","CPC1"
"G06T   3/4046","CPC1"
"G06T   9/002","CPC1"
"G06F  17/16","CPC1"
"G05B  13/027","CPC1"
"G05B  13/0275","CPC1"
"G05B  13/028","CPC1"
"G05B  13/0285","CPC1"
"G05B  13/029","CPC1"
"G05B  13/0295","CPC1"
"G05D   1/0088","CPC1"
"G06F  17/30401","CPC1"
"G06F  17/3043","CPC1"
"G06F  17/30654","CPC1"
"G06F  17/30663","CPC1"
"G06F  17/30666","CPC1"
"G06F  17/30669","CPC1"
"G06F  17/30672","CPC1"
"G06F  17/30684","CPC1"
"G06F  17/30687","CPC1"
"G06F  17/3069","CPC1"
"G06F  17/30702","CPC1"
"G06F  19/24","CPC1"
"G06F  19/707","CPC1"
"G01N  29/4481","CPC1"
"G01N  33/0034","CPC1"
"G01R  31/3651","CPC1"
"G01S   7/417","CPC1"
"G06F  11/1476","CPC1"
"G06F  11/2257","CPC1"
"G06F  11/2263","CPC1"
"G06F  15/18","CPC1"
"G06K   7/1482","CPC1"
"G06N   7/046","CPC1"
"G11B  20/10518","CPC1"
"H01M   8/04992","CPC1"
"H02H   1/0092","CPC1"
"H02P  21/0014","CPC1"
"H02P  23/0018","CPC1"
"H04L  25/0254","CPC1"
"H04L  25/03165","CPC1"
"H04L  41/16","CPC1"
"H04L  45/08","CPC1"
"H04R  25/507","CPC1"
"G08B  29/186","CPC1"
"B23K  31/006","CPC1"
"B29C  66/965","CPC1"
"B25J   9/161","CPC1"
"Y10S 128/924","CPC1"
"Y10S 128/925","CPC1"
"F02D  41/1405","CPC1"
"F03D   7/046","CPC1"
"B60W  30/06","CPC1"
"B62D  15/0285","CPC1"
"A61B   5/7267","CPC1"
"G10L  25/30","CPC1"
"H04N  21/4666","CPC1"
"A63F  13/67","CPC1"
"G06F  17/2282","CPC1"
"G05B2219/33002","CPC1"
"G01N2201/1296","CPC1"
"G06F2207/4824","CPC1"
"G10H2250/151","CPC1"
"G10H2250/311","CPC1"
"G10K2210/3024","CPC1"
"H01J2237/30427","CPC1"
"H03H2017/0208","CPC1"
"H03H2222/04","CPC1"
"H04L2012/5686","CPC1"
"H04L2025/03464","CPC1"
"H04L2025/03554","CPC1"
"H04Q2213/054","CPC1"
"H04Q2213/13343","CPC1"
"H04Q2213/343","CPC1"
"B60G2600/1876","CPC1"
"B60G2600/1878","CPC1"
"B60G2600/1879","CPC1"
"B64G2001/247","CPC1"
"E21B2041/0028","CPC1"
"B29C2945/76979","CPC1"
"F05B2270/707","CPC1"
"F05B2270/709","CPC1"
"F16H2061/0081","CPC1"
"F16H2061/0084","CPC1"
"G06T2207/30236","CPC1"
"F05D2270/709","CPC1"
"G10K2210/3038","CPC1"
"Y10S 706","CPC1"
"G06N   3","CPC1"
"G05B 2219/33002","CPC1"
"G06K   9","CPC1"
"G10L  15","CPC1"
"G10L  17","CPC1"
"G01N 2201/1296","CPC1"
"G06F 2207/4824","CPC1"
"G10H 2250/151","CPC1"
"G10H 2250/311","CPC1"
"G10K 2210/3024","CPC1"
"H01J 2237/30427","CPC1"
"H03H 2017/0208","CPC1"
"H03H 2222/04","CPC1"
"H04L 2012/5686","CPC1"
"H04L 2025/03464","CPC1"
